1000.0,9.0,34.0,38.0,15.0,21.0,14.0,17.0,23.0,36.0,9.0,9.0,23.0,23.0,9.0,9.0,38.0,38.0
9.0,1000.0,25.0,29.0,6.0,20.0,15.0,12.0,24.0,27.0,0.0,0.0,22.0,22.0,0.0,0.0,29.0,29.0
34.0,25.0,1000.0,4.0,19.0,21.0,20.0,17.0,27.0,10.0,25.0,25.0,19.0,19.0,25.0,25.0,4.0,4.0
38.0,29.0,4.0,1000.0,23.0,25.0,24.0,21.0,27.0,10.0,29.0,29.0,21.0,21.0,29.0,29.0,0.0,0.0
15.0,6.0,19.0,23.0,1000.0,24.0,11.0,16.0,20.0,21.0,6.0,6.0,26.0,26.0,6.0,6.0,23.0,23.0
21.0,20.0,21.0,25.0,24.0,1000.0,35.0,8.0,44.0,27.0,20.0,20.0,4.0,4.0,20.0,20.0,25.0,25.0
14.0,15.0,20.0,24.0,11.0,35.0,1000.0,27.0,9.0,22.0,15.0,15.0,37.0,37.0,15.0,15.0,24.0,24.0
17.0,12.0,17.0,21.0,16.0,8.0,27.0,1000.0,36.0,19.0,12.0,12.0,10.0,10.0,12.0,12.0,21.0,21.0
23.0,24.0,27.0,27.0,20.0,44.0,9.0,36.0,1000.0,19.0,24.0,24.0,46.0,46.0,24.0,24.0,27.0,27.0
36.0,27.0,10.0,10.0,21.0,27.0,22.0,19.0,19.0,1000.0,27.0,27.0,29.0,29.0,27.0,27.0,10.0,10.0
9.0,0.0,25.0,29.0,6.0,20.0,15.0,12.0,24.0,27.0,1000.0,0.0,22.0,22.0,0.0,0.0,29.0,29.0
9.0,0.0,25.0,29.0,6.0,20.0,15.0,12.0,24.0,27.0,0.0,1000.0,22.0,22.0,0.0,0.0,29.0,29.0
23.0,22.0,19.0,21.0,26.0,4.0,37.0,10.0,46.0,29.0,22.0,22.0,1000.0,0.0,22.0,22.0,21.0,21.0
23.0,22.0,19.0,21.0,26.0,4.0,37.0,10.0,46.0,29.0,22.0,22.0,0.0,1000.0,22.0,22.0,21.0,21.0
9.0,0.0,25.0,29.0,6.0,20.0,15.0,12.0,24.0,27.0,0.0,0.0,22.0,22.0,1000.0,0.0,29.0,29.0
9.0,0.0,25.0,29.0,6.0,20.0,15.0,12.0,24.0,27.0,0.0,0.0,22.0,22.0,0.0,1000.0,29.0,29.0
38.0,29.0,4.0,0.0,23.0,25.0,24.0,21.0,27.0,10.0,29.0,29.0,21.0,21.0,29.0,29.0,1000.0,0.0
38.0,29.0,4.0,0.0,23.0,25.0,24.0,21.0,27.0,10.0,29.0,29.0,21.0,21.0,29.0,29.0,0.0,1000.0
